name,address,city,state,postal_code,latitude,longitude,stars,review_count,categories
"""Sandstone Cafe""","""4959 W Ray Rd""",Chandler,AZ,85226,33.3183691,-111.9276449,3,10,Restaurants;American (Traditional)
"""Fresko A Mediterranean Kitchen""","""5033 E Elliot Rd""",Phoenix,AZ,85044,33.347893,-111.9768218,4.5,88,Greek;Vegetarian;Sandwiches;Mediterranean;Restaurants
"""Nando's Mexican Cafe""","""6715 E McDowell Rd""",Mesa,AZ,85215,33.4658931,-111.6858266,3.5,192,Restaurants;Mexican
"""Bangkok Thai Bar-B-Q""","""13828 N 51st Ave""",Glendale,AZ,85306,33.61152085,-112.1704866,4,131,Restaurants;Asian Fusion;Thai
"""Del Taco""","""1483 N Dysart Rd""",Avondale,AZ,85323,33.454393,-112.3404076,2.5,23,Restaurants;Fast Food;Mexican
"""Pho Dam""","""2025 N Dobson Rd""",Chandler,AZ,85224,33.3362676,-111.8741442,4,17,Restaurants;Vietnamese
"""Arby's""","""17032 N 99th Ave""",Sun City,AZ,85373,33.63926287,-112.2752562,3.5,9,American (Traditional);Restaurants;Sandwiches;Steakhouses;American (New);Fast Food
"""Kabuki Sushi & Grill""","""8378 W Thunderbird Rd, Ste 107""",Peoria,AZ,85381,33.6114217,-112.2395205,4,157,Restaurants;Japanese;Sushi Bars
"""AZ Pho & Grill""","""3140 S Gilbert Rd, Ste 1""",Chandler,AZ,85286,33.2606908,-111.7903737,4,249,Bubble Tea;Restaurants;Food;Vietnamese
"""Taco Bell""","""15240 N. 32nd Street""",Phoenix,AZ,85032,33.6259,-112.0136,2,18,Tex-Mex;Fast Food;Restaurants;Mexican
"""Yoshi's Asian Grill""","""3800 E Sky Harbor Blvd""",Phoenix,AZ,85034,33.4356207,-112.0095457,2.5,14,Restaurants;Asian Fusion
"""Fleming's Prime Steakhouse-Scottsdale""","""20753 N Pima Rd""",Scottsdale,AZ,85255,33.674238,-111.889288,3.5,190,Nightlife;Restaurants;Steakhouses;Wine Bars;Bars;Seafood
"""Sesame Inn Carefree""","""34482 N Scottsdale Rd""",Scottsdale,AZ,85262,33.7983014,-111.9307437,3.5,90,Restaurants;Chinese
"""Burrito Express""","""450 N Alma School R""",Mesa,AZ,85201,33.4235954,-111.8568585,2.5,92,Mexican;Restaurants
"""Filiberto's Mexican Rest""","""3218 E Mcdowell Rd""",Phoenix,AZ,85008,33.4660114,-112.0123338,3,7,Restaurants;Mexican
"""Mo's Chicken""","""3505 W Thomas Rd""",Phoenix,AZ,85019,33.4800487,-112.1347018,3,10,Restaurants;Chicken Shop
"""Federico's Mexican Food""","""13132 W Camelback Rd""",Litchfield Park,AZ,85340,33.508441,-112.341953,3.5,63,Mexican;Restaurants
"""Little Caesars Pizza""","""13011 W Greenway Blvd""",El Mirage,AZ,85335,33.62305489,-112.3397575,2.5,15,Restaurants;Pizza
"""The Saguaro Restaurant""","""4000 North Drinkwater Blvd""",Scottsdale,AZ,85251,33.4941213,-111.9227616,3.5,10,Event Planning & Services;Sandwiches;Restaurants;Nightlife;American (Traditional);Salad;Cocktail Bars;Venues & Event Spaces;Bars
"""Cin-Cin Restaurant""","""4425 N Buckboard Trl.""",Scottsdale,AZ,85251,33.5012604,-111.9233633,3,5,Lounges;Restaurants;Nightlife;Bars;Italian
"""IHOP""","""935 W Elliot Rd""",Chandler,AZ,85224,33.3493477,-111.8565147,2.5,78,American (New);Restaurants;Breakfast & Brunch;American (Traditional)
"""Dinkey Donkey""","""37636 N Tom Darlington Rd""",Cave Creek,AZ,85331,33.8271931,-111.9237212,4.5,3,Delis;Restaurants
"""Big Wa""","""990 E Riggs Rd""",Chandler,AZ,85249,33.2195026,-111.8247181,3,4,Chinese;Restaurants
"""The Good Egg - Val Vista""","""1939 S Val Vista Dr""",Mesa,AZ,85204,33.380479,-111.7533699,4,109,American (New);Breakfast & Brunch;Restaurants
"""Curry Garden""","""1533 W Elliot Rd, Ste 101""",Gilbert,AZ,85233,33.3492557,-111.8223441,4,109,Restaurants;Indian;Buffets
"""Mucha Lucha Taco Shop""","""1530 S Val Vista Dr""",Gilbert,AZ,85296,33.322367,-111.756204,4.5,199,Restaurants;Tacos;Mexican
"""Little Caesars Pizza""","""6466 S Higley Rd""",Gilbert,AZ,85298,33.23194166,-111.7212182,4,9,Pizza;Restaurants
"""Modern Round""","""8320 W Mariners Way""",Peoria,AZ,85382,33.629059,-112.2381128,3.5,130,Arts & Entertainment;Virtual Reality Centers;Bars;Restaurants;Arcades;American (New);Food;Nightlife
"""Julio's Too""","""7305 E Camelback Rd""",Scottsdale,AZ,85251,33.5019605,-111.9230924,4,166,Restaurants;Mexican
"""Rosati's Pizza""","""4010 E Bell Rd, Ste 101""",Phoenix,AZ,85032,33.6418473,-111.9955708,3,67,Restaurants;Pizza
"""La Santisima""","""1919 N 16th St""",Phoenix,AZ,85006,33.469201,-112.047393,4,1694,Vegetarian;Nightlife;Mexican;Bars;Vegan;Restaurants;Breakfast & Brunch;Cafes
"""Filiberto's Mexican Food""","""3636 E. Baseline Rd""",Mesa,AZ,85206,33.37946745,-111.7529941,2.5,70,Mexican;Restaurants
"""Aiello's East Coast Italian""","""777 E Thunderbird Rd, Ste 100""",Phoenix,AZ,85022,33.607105,-112.063427,4,130,Restaurants;Italian
"""Wong's Place""","""1825 E Baseline Rd.""",Tempe,AZ,85283,33.3779385,-111.9062779,4,149,Chinese;Restaurants
"""Jack in the Box""","""2145 E University Dr""",Tempe,AZ,85281,33.4217141,-111.8937627,2,12,Restaurants;Fast Food
"""Pho All Seasons""","""1116 S Dobson Rd""",Mesa,AZ,85202,33.3944997,-111.8748402,3,14,Restaurants;Vietnamese
"""Panera Bread""","""9995 W Mcdowell Rd""",Avondale,AZ,85392,33.46437576,-112.2742707,2.5,75,Bakeries;Soup;Sandwiches;Salad;Food;Restaurants
"""On The Green Sports Grill""","""801 S Power Rd""",Mesa,AZ,85206,33.3997189,-111.6841436,3.5,36,American (New);Restaurants
"""Kashman's Place""","""23425 N Scottsdale Rd, Ste 6""",Scottsdale,AZ,85250,33.519588,-111.909524,3.5,21,Bagels;Delis;Restaurants;Food
"""Native Grill & Wings""","""2110 S Gilbert Rd""",Chandler,AZ,85286,33.27633164,-111.7902894,3,195,Sports Bars;American (New);Chicken Wings;Bars;Restaurants;Nightlife
"""Palms Restaurant""","""3502 West Greenway Rd""",Phoenix,AZ,85053,33.6259523,-112.1343378,5,3,Restaurants;Greek;Mediterranean;Food;Bakeries
"""Micky's Hot Dogs""","""108 W Broadway Rd""",Mesa,AZ,85210,33.4080371,-111.8346059,4,115,Fast Food;Restaurants;Mexican;Hot Dogs
"""Culinary Dropout""","""149 S Farmer""",Tempe,AZ,85281,33.428533,-111.943955,4,984,American (New);Restaurants
"""Vaqueros Carne Asada""","""2602 W Southern Ave""",Tempe,AZ,85282,33.3931502,-111.9762132,3.5,17,Mexican;Restaurants
"""Belfiore's Italian Ristorante""","""15842 N Cave Creek Rd""",Phoenix,AZ,85032,33.6308568,-112.0309244,3.5,67,Pizza;Italian;Food;Restaurants;Bakeries
"""Firehouse Subs""","""1616 S Stapely Dr, Ste 101""",Mesa,AZ,85204,33.38483047,-111.8067551,3.5,33,Fast Food;Delis;Sandwiches;Restaurants
"""Chick-fil-A""","""7000 E Mayo Blvd""",Phoenix,AZ,85054,33.65563,-111.927745,3.5,75,Event Planning & Services;Caterers;Restaurants;Fast Food
"""Szechwan Palace""","""2386 N Alma School Rd""",Chandler,AZ,85224,33.34019852,-111.8596878,3.5,86,Szechuan;Restaurants;Chinese
"""Worth Takeaway""","""218 W Main St""",Mesa,AZ,85201,33.4154308,-111.8374321,5,336,Breakfast & Brunch;Sandwiches;American (New);American (Traditional);Restaurants
"""SÃ­ SeÃ±or Restaurant""","""600 N Alma School Rd""",Chandler,AZ,85224,33.3136751,-111.8596581,4,398,Mexican;Restaurants
"""Spinato's Pizza""","""1219 E Glendale Ave, Ste 14""",Phoenix,AZ,85020,33.53787131,-112.055161,4,157,Restaurants;Pizza;Sandwiches;Italian
"""Jimmy John's""","""1120 N Estrella Pkwy, Ste C104""",Goodyear,AZ,85338,33.4589806,-112.3930937,2.5,11,Food Delivery Services;Food;Restaurants;Sandwiches
"""Freddy's Frozen Custard & Steakburgers""","""4929 W Bell Rd""",Glendale,AZ,85308,33.63871793,-112.1672515,4,191,Diners;Ice Cream & Frozen Yogurt;Food;Restaurants;Burgers;Fast Food
"""Subway""","""3230 E Union Hills Dr, Ste B-125, Union Centre Shoppes""",Phoenix,AZ,85050,33.65565301,-112.0120321,3.5,6,Sandwiches;Restaurants;Fast Food
"""Ronnie's Cafe""","""4323 W Cactus Rd, Ste 3""",Glendale,AZ,85304,33.5956471,-112.1521774,4,278,Restaurants;Breakfast & Brunch
"""Subway""","""130 E University Dr, Ste C""",Tempe,AZ,85281,33.4219428,-111.9415492,3.5,5,Sandwiches;Fast Food;Restaurants
"""Nick and Willy's Take & Bake""","""13216 N 7th St""",Phoenix,AZ,85022,33.6060548,-112.0663997,3.5,3,Restaurants;Pizza
"""Ichi Ban Japanese Restaurant""","""9897 W McDowell Rd""",Tolleson,AZ,85353,33.464277,-112.269802,2,60,Restaurants;Steakhouses;Japanese;Sushi Bars
"""Spanish Fly""","""4341 N 75th St""",Scottsdale,AZ,85251,33.4997252,-111.9197955,3.5,55,Restaurants;Mexican;Bars;Nightlife
"""Loco Patron""","""4228 N Scottsdale Rd""",Scottsdale,AZ,85251,33.4977693,-111.9264149,3.5,327,Sports Bars;Mexican;Restaurants;Nightlife;Bars
"""Pizza Hut""","""14763 W Cactus Rd, Ste 120""",Surprise,AZ,85379,33.5941776,-112.3780084,1.5,18,Restaurants;Chicken Wings;Pizza;Italian
"""Saddle Ranch Chop House""","""9375 W Coyotes Blvd""",Glendale,AZ,85305,33.53295193,-112.2607619,2.5,477,Steakhouses;Restaurants;Nightlife;Bars
"""Dolce Vino Wine Bar Italian Cuisine""","""4935 W Glendale Ave, Ste 17""",Glendale,AZ,85301,33.5379277,-112.1665028,4.5,36,Italian;Bars;Restaurants;Nightlife;Wine Bars
"""Yogi's Grill""","""2450 W Happy Valley Rd""",Phoenix,AZ,85085,33.71450555,-112.1122384,4,80,Salad;Noodles;Sushi Bars;Restaurants;Japanese
"""Legends Sports Club""","""8378 W Thunderbird Rd""",Peoria,AZ,85381,33.6114217,-112.2395205,2,25,Restaurants;Bars;American (Traditional);Chicken Wings;Sports Bars;Nightlife;American (New);Beer Bar;Pubs
"""Tom's BBQ""","""1140 S Country Club Dr""",Mesa,AZ,85210,33.39370083,-111.841278,3.5,88,Event Planning & Services;Barbeque;Caterers;Restaurants
"""Royal Taj""","""6245 W Chandler Blvd, Ste 1""",Chandler,AZ,85226,33.3048389,-111.9490143,3.5,8,Indian;Restaurants
"""Rack Shack BBQ""","""1019 E Indian School Rd""",Phoenix,AZ,85014,33.4942339,-112.0597411,3,5,Restaurants;Barbeque
"""Pei Wei""","""20022 N 67th Ave, Ste 100""",Glendale,AZ,85308,33.666586,-112.203627,3,125,Gluten-Free;Asian Fusion;Chinese;Restaurants;Fast Food
"""Fat Boys Pizza""","""4040 S Arizona Ave""",Chandler,AZ,85248,33.2464267,-111.8428351,3.5,15,Restaurants;Pizza
"""Peter Piper Pizza""","""3403 N 7th Ave""",Phoenix,AZ,85013,33.4884218,-112.0823702,3.5,27,Chicken Wings;Buffets;Restaurants;Pizza
"""The Casual Pint""","""1095 West Queen Creek Rd, Ste 8""",Chandler,AZ,85248,33.2613947,-111.8613829,4,68,Bars;Nightlife;Pubs;Beer Bar;American (Traditional);Restaurants;Beer;Wine & Spirits;Food
"""Cafe Rio""","""1939 E Baseline Rd""",Gilbert,AZ,85233,33.377308,-111.789086,3,242,Desserts;Food;Mexican;Restaurants;Salad
"""Golden Hawaiian BBQ""","""1720 W Southern Ave, Ste C3""",Mesa,AZ,85202,33.39380264,-111.8688049,4,84,Hawaiian;Asian Fusion;Restaurants;Barbeque
"""Zest of India""","""3202 E Greenway Rd, Ste 1617""",Phoenix,AZ,85032,33.6264184,-112.0132464,1,3,Restaurants;Indian;Pakistani
"""Positively Frosted""","""7510 E Thomas Rd""",Scottsdale,AZ,85251,33.4816874,-111.9193476,5,6,Desserts;Restaurants;Cupcakes;Vegan;Bakeries;Food Delivery Services;Food;Custom Cakes
"""Modern  Grove""","""15530 N Tatum Blvd, Ste 160""",Phoenix,AZ,85032,33.62745993,-111.9784556,3,327,Restaurants;Breakfast & Brunch;Comfort Food;Beer;Wine & Spirits;Burgers;Vegetarian;American (New);Food
"""Spasso Pizza & Mozzarella Bar""","""4743 N 20th St, Ste A22A""",Phoenix,AZ,85016,33.4483771,-112.0740373,3.5,38,Pizza;Italian;Restaurants
"""Dave & Buster's""","""9460 W Hanna Ln""",Glendale,AZ,85305,33.5349425,-112.261923,2,180,Restaurants;Sports Bars;American (Traditional);Nightlife;Arts & Entertainment;Bars;Arcades;Eatertainment
"""Matta's Grill and Cantina""","""1033 N Dobson Rd, Ste 101""",Mesa,AZ,85201,33.435166,-111.8660545,3,148,Restaurants;Mexican
"""Zabari Mediterranean Grill""","""3831 E Thunderbird Rd, Ste 3""",Phoenix,AZ,85032,33.6113539,-111.9985593,4.5,95,Middle Eastern;Mediterranean;Restaurants
"""Applebee's Neighborhood Grill & Bar""","""5880 W Peoria Ave""",Glendale,AZ,85302,33.5824983,-112.1857333,2,70,American (Traditional);Sports Bars;Bars;Nightlife;Steakhouses;Restaurants;Burgers
"""Sbarro Italian Eatery""","""7700 W Arrowhead Towne Ctr""",Glendale,AZ,85308,33.6420894,-112.2254067,2,9,Pizza;Salad;Italian;Restaurants
"""Dino's Ristorante""","""15842 N Cave Creek Rd""",Phoenix,AZ,85032,33.63076848,-112.0312417,4.5,38,Pizza;Food;Restaurants;Italian;Bakeries
"""Barro's Pizza""","""1066 N Power Rd""",Mesa,AZ,85205,33.43591418,-111.6848631,4,10,Pizza;Restaurants
"""Arizona Polish Festival""","""2828 W Country Gables Dr""",Phoenix,AZ,85053,33.61956406,-112.1198502,4,8,Restaurants;Arts & Entertainment;Festivals;Polish
"""Port of Subs""","""1342 W Warner Rd""",Tempe,AZ,85284,33.3350123,-111.9619516,2.5,36,Delis;Sandwiches;Restaurants
"""Riazzi's Italian Garden""","""2700 S Mill Ave""",Tempe,AZ,85282,33.3998762,-111.9400825,3.5,141,Italian;Restaurants
"""Bill Johnsons Big Apple""","""16810 N 19th Ave""",Phoenix,AZ,85003,33.6386869,-112.1000291,2.5,52,American (Traditional);Restaurants;Barbeque
"""Golden Star Chinese Food Restaurant""","""10050 W Bell Rd""",Sun City,AZ,85351,33.6396367,-112.2758645,2.5,5,Restaurants;Chinese
"""Burger King""","""6402 S Rural Rd""",Tempe,AZ,85283,33.3631806,-111.9291133,2,24,Restaurants;Burgers;Fast Food
"""Pedro's Mexican Restaurant""","""4938 W Glendale Ave""",Glendale,AZ,85301,33.5387191,-112.1662867,4,170,Salad;Restaurants;Mexican;Tacos;Soup
"""A & J Chicago Style Bar-B-Q""","""6102 N 16th St""",Phoenix,AZ,85016,33.5258838,-112.047946,3,9,Barbeque;Restaurants
"""The Nile Cafe""","""7051 E McDowell Rd""",Scottsdale,AZ,85257,33.4656052,-111.9292957,4,14,Mediterranean;Restaurants
"""Oregano's Pizza Bistro""","""37645 Cave Creek Rd""",Cave Creek,AZ,85331,33.82781177,-111.9547806,3.5,190,Pizza;Italian;Restaurants
"""P.F. Chang's""","""6610 E Superstition Springs Blvd""",Mesa,AZ,85206,33.38557059,-111.6899166,3.5,113,Gluten-Free;Restaurants;Chinese;Food;Asian Fusion
"""Port of Subs""","""635 E Indian School Rd, Ste 102""",Phoenix,AZ,85012,33.4943244,-112.0654164,3,31,Delis;Sandwiches;Restaurants
"""Tastings Wine Bar and Bistro""","""1809 N Dysart Rd""",Avondale,AZ,85323,33.4680145,-112.3407907,2,5,Nightlife;Bars;Restaurants;Wine Bars
"""Yogis Grill""","""1645 E Camelback""",Phoenix,AZ,85016,33.5076828,-112.0459694,3.5,87,Japanese;Restaurants
"""Bowl of Greens""","""16447 N Scottsdale Rd, Ste 101""",Scottsdale,AZ,85254,33.6354649,-111.9237255,4,99,Restaurants;Food;Salad;Juice Bars & Smoothies;Middle Eastern
"""Mariachi Estrellas Del PacÃ­fico""","""""",Phoenix,AZ,85001,33.4499672,-112.0702225,5,4,Arts & Entertainment;Musicians;Restaurants;Performing Arts;Mexican;Event Planning & Services
"""First Watch - Breakfast, Brunch & Lunch""","""16455 N Scottsdale Rd, Ste 107""",Scottsdale,AZ,85254,33.63534094,-111.9225438,4,229,American (Traditional);Breakfast & Brunch;Restaurants;Cafes
"""Windsor""","""5223 N Central Ave""",Phoenix,AZ,85012,33.513575,-112.073381,4,977,American (New);Bars;Food;Pubs;Nightlife;Restaurants;Beer;Wine & Spirits;Breakfast & Brunch
"""Cafe Roma""","""110 N Central Ave""",Phoenix,AZ,85004,33.449568,-112.0740163,3,5,Restaurants;Italian
"""Denny's""","""3971 S Gilbert Rd""",Gilbert,AZ,85297,33.27789482,-111.7886835,2.5,81,Restaurants;Breakfast & Brunch;American (Traditional);Diners
"""Chang Lee Restaurant""","""13600 N 99th Ave""",Sun City,AZ,85351,33.6074409,-112.2690931,3,32,Food;Asian Fusion;Restaurants;Food Delivery Services;Chinese
"""Fabio On Fire""","""8275 W Lake Pleasant Pkwy, Ste 101""",Peoria,AZ,85382,33.67081514,-112.2403587,4.5,132,Italian;Pizza;Food;Food Trucks;Restaurants
"""Squaw Peak Cafe""","""2333 E Thomas Rd""",Phoenix,AZ,85016,33.47919004,-112.0314878,3,6,Restaurants;Pizza;Salad;Sandwiches
"""I Roll Thai Ice Cream""","""1949 W Ray Rd, Ste 27""",Chandler,AZ,85224,33.3194292,-111.8744415,4.5,43,Restaurants;Food;Thai;Ice Cream & Frozen Yogurt;Desserts
"""Wendy's""","""2346 E McDowell Rd""",Phoenix,AZ,85006,33.4660683,-112.0306582,3.5,11,Burgers;Restaurants;Fast Food
"""Burger 21""","""2855 W Ray Rd""",Chandler,AZ,85224,33.3199738,-111.8901946,3.5,122,Burgers;Restaurants
"""First Watch - Breakfast, Brunch & Lunch""","""111 W University Dr""",Tempe,AZ,85281,33.4215708,-111.9416683,4.5,140,American (Traditional);Restaurants;Cafes;Breakfast & Brunch
"""China 1""","""319 S Power Rd""",Mesa,AZ,85206,33.4095699,-111.6844493,4,7,Restaurants;Chinese
"""Little Caesars Pizza""","""4340 W McDowell Rd, Ste 6""",Phoenix,AZ,85035,33.466332,-112.153483,1,3,Pizza;Restaurants
"""Sonic Drive-In""","""1537 W Camelback Rd""",Phoenix,AZ,85015,33.509028,-112.0927651,4,7,Fast Food;Restaurants;American (Traditional)
"""La Tolteca Mexican Foods""","""1205 E Van Buren St""",Phoenix,AZ,85006,33.45107,-112.055957,4,153,Restaurants;Food;Specialty Food;Ethnic Food;Mexican;Grocery
"""Devil's Greens""","""206 E Taylor St""",Phoenix,AZ,85004,33.4534741,-112.0711732,3,9,Vegetarian;American (Traditional);Restaurants
"""SOLO Trattoria""","""2501 E Camelback Rd, Ste 24""",Phoenix,AZ,85016,33.50845664,-112.0276717,4.5,268,Pizza;Food;Beer;Wine & Spirits;Specialty Food;Italian;Restaurants
"""Taco Bell""","""1550 E Warner Rd.""",Gilbert,AZ,85296,33.33595,-111.75707,3.5,15,Restaurants;Tex-Mex;Fast Food;Mexican
"""Two Brothers Tap House and Brewery""","""4321 N Scottsdale Rd""",Scottsdale,AZ,85251,33.4991113,-111.9257941,3.5,185,Restaurants;Breweries;American (Traditional);Gastropubs;Food
"""Paradise Valley Burger Company""","""4001 E Bell Rd""",Phoenix,AZ,85032,33.63991349,-111.9957035,4.5,1019,Burgers;American (Traditional);Mexican;Restaurants
"""Gennaro's""","""4015 S Arizona Ave, Ste 1""",Chandler,AZ,85248,33.2467202,-111.8408778,3,5,Pizza;Italian;Restaurants
"""KC's Sushi and TV Bar""","""848 N Gilbert Rd""",Gilbert,AZ,85234,33.3655704,-111.7905611,3,8,Restaurants;Sushi Bars
"""Panda Express""","""6501 E Greenway Pkwy, Ste 131""",Scottsdale,AZ,85254,33.6245789,-111.9413789,2.5,18,Fast Food;Restaurants;Chinese
"""Sonic Drive-In""","""17181 W Greenway Rd""",Surprise,AZ,85388,33.6242808,-112.4271128,3.5,5,Burgers;Fast Food;Restaurants
"""Thai Basil Chandler""","""4929 W Chandler Blvd, Ste 8""",Chandler,AZ,85226,33.3048103,-111.9270642,3.5,102,Restaurants;Vegetarian;Thai
"""BEAT E's Ribs & More""","""478 N Arizona Ave""",Chandler,AZ,85225,33.31107874,-111.8416857,5,3,Restaurants;Chicken Wings;Burgers;Barbeque
"""Tio Freddys Mexican Food-Jalapenos""","""5630 W Camelback Rd""",Glendale,AZ,85301,33.509976,-112.179133,4.5,3,Restaurants;Mexican
"""WisePies Pizza & Salad""","""521 S College Ave, Ste 110""",Tempe,AZ,85281,33.4246118,-111.9347836,4,14,Pizza;Salad;Chicken Wings;Restaurants
"""Sweet Tomatoes""","""21001 North Tatum Blvd., #93""",Phoenix,AZ,85050,33.67698791,-111.9762262,3.5,115,Soup;Restaurants;Buffets;Vegetarian;Salad
"""Papa John's Pizza""","""2836 E Indian School Rd""",Phoenix,AZ,85016,33.4954365,-112.0197856,1.5,8,Pizza;Italian;Restaurants
"""Jersey Mike's Subs""","""4715 S Rural Rd""",Tempe,AZ,85282,33.3800215,-111.9278632,2.5,22,Sandwiches;Delis;Restaurants;Fast Food
"""Panda Express""","""2434 E Baseline Rd, Ste 101""",Phoenix,AZ,85042,33.3785008,-112.0286997,2.5,28,Chinese;Fast Food;Restaurants
"""CHAR Pizzeria Napoletana""","""25101 N Lake Pleasant Pkwy, Ste 1325""",Peoria,AZ,85383,33.7115673,-112.2713709,4,185,Pizza;Italian;Restaurants
"""Silver Mine Subs""","""655 W Warner Rd""",Tempe,AZ,85284,33.3329516,-111.9472856,3.5,14,Restaurants;Sandwiches
"""L'Amore Italian Restaurant""","""3159 E Lincoln Dr""",Phoenix,AZ,85016,33.53083136,-112.0133682,4.5,159,Italian;Restaurants
"""Lim's Chinese Restaurant""","""7532 W Indian School Rd""",Phoenix,AZ,85033,33.494652,-112.2221676,4,12,Specialty Food;Cantonese;Food;Restaurants;Ethnic Food;Chinese
"""Water Ice Cream & More""","""33 W Baseline Rd""",Tempe,AZ,85283,33.3775849,-111.9403397,5,5,Restaurants;Ice Cream & Frozen Yogurt;Food
"""Smashburger""","""2904 S Santan Village Pkwy, Ste 104""",Gilbert,AZ,85295,33.2971056,-111.743951,3.5,88,Burgers;Restaurants;Food
"""Starbucks""","""6807 E Baseline Rd, Ste 101""",Mesa,AZ,85209,33.3789313,-111.6873472,3,26,Restaurants;Coffee & Tea;Food;Cafes
"""DÃ©lice Bistro""","""690 S Mill Ave""",Tempe,AZ,85281,33.42341324,-111.9406831,3.5,174,Modern European;Coffee & Tea;Breakfast & Brunch;Bakeries;Cafes;Food;Desserts;Restaurants
"""Cafe Nordstrom""","""7055 E Camelback Rd""",Scottsdale,AZ,85251,33.5017764,-111.9291509,3,4,Restaurants;Cafes;Food;Salad;Coffee & Tea
"""Old Town Tortilla Factory""","""6910 E Main St""",Scottsdale,AZ,85251,33.4933306,-111.9321082,3,381,Nightlife;Beer Bar;Restaurants;Tex-Mex;Bars;Mexican
"""Wendy's""","""727 S Cooper Rd""",Gilbert,AZ,85233,33.3367952,-111.8063145,2.5,9,Restaurants;Fast Food;Burgers
"""Chestnut Fine Foods & Provisions""","""4350 E Camelback Rd, Bldg I-100""",Phoenix,AZ,85018,33.50982558,-111.9870976,3,238,Ramen;Restaurants;Cafes;Breakfast & Brunch;American (New);Japanese
"""Pub'n Grub""","""2815 S Alma School Rd, Ste 101""",Mesa,AZ,85210,33.3638634,-111.8581176,4,63,American (New);Pubs;Bars;Nightlife;Restaurants
"""Preston's Steakhouse""","""8700 E Pinnacle Peak Rd, Ste 115""",Scottsdale,AZ,85255,33.699168,-111.892549,4,144,Restaurants;Desserts;Steakhouses;Nightlife;Food;Bars;American (Traditional);Seafood
"""Julia Baker Confections""","""Biltmore Fashion Park, 2502 E Camelback, Ste 130""",Phoenix,AZ,85016,33.5082688,-112.0317156,4.5,71,Bakeries;Food;Specialty Food;Cafes;Chocolatiers & Shops;Restaurants
