name,address,city,state,postal_code,latitude,longitude,stars,review_count,categories,category
Filiberto's Mexican Food,3636 E. Baseline Rd,Mesa,AZ,85206,33.37946745,-111.7529941,2.5,70,mexican;restaurants,Mexican
Aiello's East Coast Italian,"777 E Thunderbird Rd, Ste 100",Phoenix,AZ,85022,33.607105,-112.063427,4.0,130,restaurants;italian,Italian
Wong's Place,1825 E Baseline Rd.,Tempe,AZ,85283,33.3779385,-111.9062779,4.0,149,chinese;restaurants,Chinese
Jack in the Box,2145 E University Dr,Tempe,AZ,85281,33.4217141,-111.8937627,2.0,12,restaurants;fast food,American
Pho All Seasons,1116 S Dobson Rd,Mesa,AZ,85202,33.3944997,-111.8748402,3.0,14,restaurants;vietnamese,Vietnamese
Panera Bread,9995 W Mcdowell Rd,Avondale,AZ,85392,33.46437576,-112.2742707,2.5,75,bakeries;soup;sandwiches;salad;food;restaurants,American
On The Green Sports Grill,801 S Power Rd,Mesa,AZ,85206,33.3997189,-111.6841436,3.5,36,american (new);restaurants,American
Kashman's Place,"23425 N Scottsdale Rd, Ste 6",Scottsdale,AZ,85250,33.519588,-111.909524,3.5,21,bagels;delis;restaurants;food,American
Native Grill & Wings,2110 S Gilbert Rd,Chandler,AZ,85286,33.27633164,-111.7902894,3.0,195,sports bars;american (new);chicken wings;bars;restaurants;nightlife,American
Palms Restaurant,3502 West Greenway Rd,Phoenix,AZ,85053,33.6259523,-112.1343378,5.0,3,restaurants;greek;mediterranean;food;bakeries,Mediterranean
Micky's Hot Dogs,108 W Broadway Rd,Mesa,AZ,85210,33.4080371,-111.8346059,4.0,115,fast food;restaurants;mexican;hot dogs,Mexican
Culinary Dropout,149 S Farmer,Tempe,AZ,85281,33.428533,-111.943955,4.0,984,american (new);restaurants,American
Vaqueros Carne Asada,2602 W Southern Ave,Tempe,AZ,85282,33.3931502,-111.9762132,3.5,17,mexican;restaurants,Mexican
Belfiore's Italian Ristorante,15842 N Cave Creek Rd,Phoenix,AZ,85032,33.6308568,-112.0309244,3.5,67,pizza;italian;food;restaurants;bakeries,Italian
Firehouse Subs,"1616 S Stapely Dr, Ste 101",Mesa,AZ,85204,33.38483047,-111.8067551,3.5,33,fast food;delis;sandwiches;restaurants,American
Szechwan Palace,2386 N Alma School Rd,Chandler,AZ,85224,33.34019852,-111.8596878,3.5,86,szechuan;restaurants;chinese,Chinese
Worth Takeaway,218 W Main St,Mesa,AZ,85201,33.4154308,-111.8374321,5.0,336,breakfast & brunch;sandwiches;american (new);american (traditional);restaurants,American
SÃ­ SeÃ±or Restaurant,600 N Alma School Rd,Chandler,AZ,85224,33.3136751,-111.8596581,4.0,398,mexican;restaurants,Mexican
Spinato's Pizza,"1219 E Glendale Ave, Ste 14",Phoenix,AZ,85020,33.53787131,-112.055161,4.0,157,restaurants;pizza;sandwiches;italian,Italian
Jimmy John's,"1120 N Estrella Pkwy, Ste C104",Goodyear,AZ,85338,33.4589806,-112.3930937,2.5,11,food delivery services;food;restaurants;sandwiches,American
Freddy's Frozen Custard & Steakburgers,4929 W Bell Rd,Glendale,AZ,85308,33.63871793,-112.1672515,4.0,191,diners;ice cream & frozen yogurt;food;restaurants;burgers;fast food,American
Subway,"3230 E Union Hills Dr, Ste B-125, Union Centre Shoppes",Phoenix,AZ,85050,33.65565301,-112.0120321,3.5,6,sandwiches;restaurants;fast food,American
Ronnie's Cafe,"4323 W Cactus Rd, Ste 3",Glendale,AZ,85304,33.5956471,-112.1521774,4.0,278,restaurants;breakfast & brunch,American
Subway,"130 E University Dr, Ste C",Tempe,AZ,85281,33.4219428,-111.9415492,3.5,5,sandwiches;fast food;restaurants,American
Nick and Willy's Take & Bake,13216 N 7th St,Phoenix,AZ,85022,33.6060548,-112.0663997,3.5,3,restaurants;pizza,Italian
Ichi Ban Japanese Restaurant,9897 W McDowell Rd,Tolleson,AZ,85353,33.464277,-112.269802,2.0,60,restaurants;steakhouses;japanese;sushi bars,Japanese
Spanish Fly,4341 N 75th St,Scottsdale,AZ,85251,33.4997252,-111.9197955,3.5,55,restaurants;mexican;bars;nightlife,Mexican
Loco Patron,4228 N Scottsdale Rd,Scottsdale,AZ,85251,33.4977693,-111.9264149,3.5,327,sports bars;mexican;restaurants;nightlife;bars,Mexican
Pizza Hut,"14763 W Cactus Rd, Ste 120",Surprise,AZ,85379,33.5941776,-112.3780084,1.5,18,restaurants;chicken wings;pizza;italian,Italian
Saddle Ranch Chop House,9375 W Coyotes Blvd,Glendale,AZ,85305,33.53295193,-112.2607619,2.5,477,steakhouses;restaurants;nightlife;bars,American
Dolce Vino Wine Bar Italian Cuisine,"4935 W Glendale Ave, Ste 17",Glendale,AZ,85301,33.5379277,-112.1665028,4.5,36,italian;bars;restaurants;nightlife;wine bars,Italian
Yogi's Grill,2450 W Happy Valley Rd,Phoenix,AZ,85085,33.71450555,-112.1122384,4.0,80,salad;noodles;sushi bars;restaurants;japanese,Japanese
Legends Sports Club,8378 W Thunderbird Rd,Peoria,AZ,85381,33.6114217,-112.2395205,2.0,25,restaurants;bars;american (traditional);chicken wings;sports bars;nightlife;american (new);beer bar;pubs,American
Royal Taj,"6245 W Chandler Blvd, Ste 1",Chandler,AZ,85226,33.3048389,-111.9490143,3.5,8,indian;restaurants,Indian
Rack Shack BBQ,1019 E Indian School Rd,Phoenix,AZ,85014,33.4942339,-112.0597411,3.0,5,restaurants;barbeque,American
Pei Wei,"20022 N 67th Ave, Ste 100",Glendale,AZ,85308,33.666586,-112.203627,3.0,125,gluten-free;asian fusion;chinese;restaurants;fast food,Chinese
Fat Boys Pizza,4040 S Arizona Ave,Chandler,AZ,85248,33.2464267,-111.8428351,3.5,15,restaurants;pizza,Italian
Peter Piper Pizza,3403 N 7th Ave,Phoenix,AZ,85013,33.4884218,-112.0823702,3.5,27,chicken wings;buffets;restaurants;pizza,Italian
The Casual Pint,"1095 West Queen Creek Rd, Ste 8",Chandler,AZ,85248,33.2613947,-111.8613829,4.0,68,bars;nightlife;pubs;beer bar;american (traditional);restaurants;beer;wine & spirits;food,American
Cafe Rio,1939 E Baseline Rd,Gilbert,AZ,85233,33.377308,-111.789086,3.0,242,desserts;food;mexican;restaurants;salad,Mexican
Golden Hawaiian BBQ,"1720 W Southern Ave, Ste C3",Mesa,AZ,85202,33.39380264,-111.8688049,4.0,84,hawaiian;asian fusion;restaurants;barbeque,Hawaiian
Zest of India,"3202 E Greenway Rd, Ste 1617",Phoenix,AZ,85032,33.6264184,-112.0132464,1.0,3,restaurants;indian;pakistani,Indian
Positively Frosted,7510 E Thomas Rd,Scottsdale,AZ,85251,33.4816874,-111.9193476,5.0,6,desserts;restaurants;cupcakes;vegan;bakeries;food delivery services;food;custom cakes,American
Modern  Grove,"15530 N Tatum Blvd, Ste 160",Phoenix,AZ,85032,33.62745993,-111.9784556,3.0,327,restaurants;breakfast & brunch;comfort food;beer;wine & spirits;burgers;vegetarian;american (new);food,American
Spasso Pizza & Mozzarella Bar,"4743 N 20th St, Ste A22A",Phoenix,AZ,85016,33.4483771,-112.0740373,3.5,38,pizza;italian;restaurants,Italian
Dave & Buster's,9460 W Hanna Ln,Glendale,AZ,85305,33.5349425,-112.261923,2.0,180,restaurants;sports bars;american (traditional);nightlife;arts & entertainment;bars;arcades;eatertainment,American
Matta's Grill and Cantina,"1033 N Dobson Rd, Ste 101",Mesa,AZ,85201,33.435166,-111.8660545,3.0,148,restaurants;mexican,Mexican
Zabari Mediterranean Grill,"3831 E Thunderbird Rd, Ste 3",Phoenix,AZ,85032,33.6113539,-111.9985593,4.5,95,middle eastern;mediterranean;restaurants,Mediterranean
Applebee's Neighborhood Grill & Bar,5880 W Peoria Ave,Glendale,AZ,85302,33.5824983,-112.1857333,2.0,70,american (traditional);sports bars;bars;nightlife;steakhouses;restaurants;burgers,American
Sbarro Italian Eatery,7700 W Arrowhead Towne Ctr,Glendale,AZ,85308,33.6420894,-112.2254067,2.0,9,pizza;salad;italian;restaurants,Italian
Dino's Ristorante,15842 N Cave Creek Rd,Phoenix,AZ,85032,33.63076848,-112.0312417,4.5,38,pizza;food;restaurants;italian;bakeries,Italian
Barro's Pizza,1066 N Power Rd,Mesa,AZ,85205,33.43591418,-111.6848631,4.0,10,pizza;restaurants,Italian
Arizona Polish Festival,2828 W Country Gables Dr,Phoenix,AZ,85053,33.61956406,-112.1198502,4.0,8,restaurants;arts & entertainment;festivals;polish,Polish
Port of Subs,1342 W Warner Rd,Tempe,AZ,85284,33.3350123,-111.9619516,2.5,36,delis;sandwiches;restaurants,American
Riazzi's Italian Garden,2700 S Mill Ave,Tempe,AZ,85282,33.3998762,-111.9400825,3.5,141,italian;restaurants,Italian
Bill Johnsons Big Apple,16810 N 19th Ave,Phoenix,AZ,85003,33.6386869,-112.1000291,2.5,52,american (traditional);restaurants;barbeque,American
Golden Star Chinese Food Restaurant,10050 W Bell Rd,Sun City,AZ,85351,33.6396367,-112.2758645,2.5,5,restaurants;chinese,Chinese
Burger King,6402 S Rural Rd,Tempe,AZ,85283,33.3631806,-111.9291133,2.0,24,restaurants;burgers;fast food,American
Pedro's Mexican Restaurant,4938 W Glendale Ave,Glendale,AZ,85301,33.5387191,-112.1662867,4.0,170,salad;restaurants;mexican;tacos;soup,Mexican
A & J Chicago Style Bar-B-Q,6102 N 16th St,Phoenix,AZ,85016,33.5258838,-112.047946,3.0,9,barbeque;restaurants,American
The Nile Cafe,7051 E McDowell Rd,Scottsdale,AZ,85257,33.4656052,-111.9292957,4.0,14,mediterranean;restaurants,Mediterranean
Oregano's Pizza Bistro,37645 Cave Creek Rd,Cave Creek,AZ,85331,33.82781177,-111.9547806,3.5,190,pizza;italian;restaurants,Italian
P.F. Chang's,6610 E Superstition Springs Blvd,Mesa,AZ,85206,33.38557059,-111.6899166,3.5,113,gluten-free;restaurants;chinese;food;asian fusion,Chinese
Port of Subs,"635 E Indian School Rd, Ste 102",Phoenix,AZ,85012,33.4943244,-112.0654164,3.0,31,delis;sandwiches;restaurants,American
Tastings Wine Bar and Bistro,1809 N Dysart Rd,Avondale,AZ,85323,33.4680145,-112.3407907,2.0,5,nightlife;bars;restaurants;wine bars,American
Yogis Grill,1645 E Camelback,Phoenix,AZ,85016,33.5076828,-112.0459694,3.5,87,japanese;restaurants,Japanese
Bowl of Greens,"16447 N Scottsdale Rd, Ste 101",Scottsdale,AZ,85254,33.6354649,-111.9237255,4.0,99,restaurants;food;salad;juice bars & smoothies;middle eastern,Middle Eastern
"First Watch - Breakfast, Brunch & Lunch","16455 N Scottsdale Rd, Ste 107",Scottsdale,AZ,85254,33.63534094,-111.9225438,4.0,229,american (traditional);breakfast & brunch;restaurants;cafes,American
Windsor,5223 N Central Ave,Phoenix,AZ,85012,33.513575,-112.073381,4.0,977,american (new);bars;food;pubs;nightlife;restaurants;beer;wine & spirits;breakfast & brunch,American
Cafe Roma,110 N Central Ave,Phoenix,AZ,85004,33.449568,-112.0740163,3.0,5,restaurants;italian,Italian
Denny's,3971 S Gilbert Rd,Gilbert,AZ,85297,33.27789482,-111.7886835,2.5,81,restaurants;breakfast & brunch;american (traditional);diners,American
Chang Lee Restaurant,13600 N 99th Ave,Sun City,AZ,85351,33.6074409,-112.2690931,3.0,32,food;asian fusion;restaurants;food delivery services;chinese,Chinese
Squaw Peak Cafe,2333 E Thomas Rd,Phoenix,AZ,85016,33.47919004,-112.0314878,3.0,6,restaurants;pizza;salad;sandwiches,Italian
I Roll Thai Ice Cream,"1949 W Ray Rd, Ste 27",Chandler,AZ,85224,33.3194292,-111.8744415,4.5,43,restaurants;food;thai;ice cream & frozen yogurt;desserts,Thai
Wendy's,2346 E McDowell Rd,Phoenix,AZ,85006,33.4660683,-112.0306582,3.5,11,burgers;restaurants;fast food,American
Burger 21,2855 W Ray Rd,Chandler,AZ,85224,33.3199738,-111.8901946,3.5,122,burgers;restaurants,American
"First Watch - Breakfast, Brunch & Lunch",111 W University Dr,Tempe,AZ,85281,33.4215708,-111.9416683,4.5,140,american (traditional);restaurants;cafes;breakfast & brunch,American
China 1,319 S Power Rd,Mesa,AZ,85206,33.4095699,-111.6844493,4.0,7,restaurants;chinese,Chinese
Little Caesars Pizza,"4340 W McDowell Rd, Ste 6",Phoenix,AZ,85035,33.466332,-112.153483,1.0,3,pizza;restaurants,Italian
Sonic Drive-In,1537 W Camelback Rd,Phoenix,AZ,85015,33.509028,-112.0927651,4.0,7,fast food;restaurants;american (traditional),American
Devil's Greens,206 E Taylor St,Phoenix,AZ,85004,33.4534741,-112.0711732,3.0,9,vegetarian;american (traditional);restaurants,American
SOLO Trattoria,"2501 E Camelback Rd, Ste 24",Phoenix,AZ,85016,33.50845664,-112.0276717,4.5,268,pizza;food;beer;wine & spirits;specialty food;italian;restaurants,Italian
Taco Bell,1550 E Warner Rd.,Gilbert,AZ,85296,33.33595,-111.75707,3.5,15,restaurants;tex-mex;fast food;mexican,Mexican
Two Brothers Tap House and Brewery,4321 N Scottsdale Rd,Scottsdale,AZ,85251,33.4991113,-111.9257941,3.5,185,restaurants;breweries;american (traditional);gastropubs;food,American
Paradise Valley Burger Company,4001 E Bell Rd,Phoenix,AZ,85032,33.63991349,-111.9957035,4.5,1019,burgers;american (traditional);mexican;restaurants,American
Gennaro's,"4015 S Arizona Ave, Ste 1",Chandler,AZ,85248,33.2467202,-111.8408778,3.0,5,pizza;italian;restaurants,Italian
KC's Sushi and TV Bar,848 N Gilbert Rd,Gilbert,AZ,85234,33.3655704,-111.7905611,3.0,8,restaurants;sushi bars,Japanese
Panda Express,"6501 E Greenway Pkwy, Ste 131",Scottsdale,AZ,85254,33.6245789,-111.9413789,2.5,18,fast food;restaurants;chinese,Chinese
Sonic Drive-In,17181 W Greenway Rd,Surprise,AZ,85388,33.6242808,-112.4271128,3.5,5,burgers;fast food;restaurants,American
Thai Basil Chandler,"4929 W Chandler Blvd, Ste 8",Chandler,AZ,85226,33.3048103,-111.9270642,3.5,102,restaurants;vegetarian;thai,Thai
BEAT E's Ribs & More,478 N Arizona Ave,Chandler,AZ,85225,33.31107874,-111.8416857,5.0,3,restaurants;chicken wings;burgers;barbeque,American
Tio Freddys Mexican Food-Jalapenos,5630 W Camelback Rd,Glendale,AZ,85301,33.509976,-112.179133,4.5,3,restaurants;mexican,Mexican
WisePies Pizza & Salad,"521 S College Ave, Ste 110",Tempe,AZ,85281,33.4246118,-111.9347836,4.0,14,pizza;salad;chicken wings;restaurants,Italian
Sweet Tomatoes,"21001 North Tatum Blvd., #93",Phoenix,AZ,85050,33.67698791,-111.9762262,3.5,115,soup;restaurants;buffets;vegetarian;salad,American
Papa John's Pizza,2836 E Indian School Rd,Phoenix,AZ,85016,33.4954365,-112.0197856,1.5,8,pizza;italian;restaurants,Italian
Jersey Mike's Subs,4715 S Rural Rd,Tempe,AZ,85282,33.3800215,-111.9278632,2.5,22,sandwiches;delis;restaurants;fast food,American
Panda Express,"2434 E Baseline Rd, Ste 101",Phoenix,AZ,85042,33.3785008,-112.0286997,2.5,28,chinese;fast food;restaurants,Chinese
CHAR Pizzeria Napoletana,"25101 N Lake Pleasant Pkwy, Ste 1325",Peoria,AZ,85383,33.7115673,-112.2713709,4.0,185,pizza;italian;restaurants,Italian
Silver Mine Subs,655 W Warner Rd,Tempe,AZ,85284,33.3329516,-111.9472856,3.5,14,restaurants;sandwiches,American
L'Amore Italian Restaurant,3159 E Lincoln Dr,Phoenix,AZ,85016,33.53083136,-112.0133682,4.5,159,italian;restaurants,Italian
Lim's Chinese Restaurant,7532 W Indian School Rd,Phoenix,AZ,85033,33.494652,-112.2221676,4.0,12,specialty food;cantonese;food;restaurants;ethnic food;chinese,Chinese
Water Ice Cream & More,33 W Baseline Rd,Tempe,AZ,85283,33.3775849,-111.9403397,5.0,5,restaurants;ice cream & frozen yogurt;food,American
Smashburger,"2904 S Santan Village Pkwy, Ste 104",Gilbert,AZ,85295,33.2971056,-111.743951,3.5,88,burgers;restaurants;food,American
Starbucks,"6807 E Baseline Rd, Ste 101",Mesa,AZ,85209,33.3789313,-111.6873472,3.0,26,restaurants;coffee & tea;food;cafes,American
DÃ©lice Bistro,690 S Mill Ave,Tempe,AZ,85281,33.42341324,-111.9406831,3.5,174,modern european;coffee & tea;breakfast & brunch;bakeries;cafes;food;desserts;restaurants,American
Cafe Nordstrom,7055 E Camelback Rd,Scottsdale,AZ,85251,33.5017764,-111.9291509,3.0,4,restaurants;cafes;food;salad;coffee & tea,American
Old Town Tortilla Factory,6910 E Main St,Scottsdale,AZ,85251,33.4933306,-111.9321082,3.0,381,nightlife;beer bar;restaurants;tex-mex;bars;mexican,Mexican
Wendy's,727 S Cooper Rd,Gilbert,AZ,85233,33.3367952,-111.8063145,2.5,9,restaurants;fast food;burgers,American
Chestnut Fine Foods & Provisions,"4350 E Camelback Rd, Bldg I-100",Phoenix,AZ,85018,33.50982558,-111.9870976,3.0,238,ramen;restaurants;cafes;breakfast & brunch;american (new);japanese,American
Pub'n Grub,"2815 S Alma School Rd, Ste 101",Mesa,AZ,85210,33.3638634,-111.8581176,4.0,63,american (new);pubs;bars;nightlife;restaurants,American
Preston's Steakhouse,"8700 E Pinnacle Peak Rd, Ste 115",Scottsdale,AZ,85255,33.699168,-111.892549,4.0,144,restaurants;desserts;steakhouses;nightlife;food;bars;american (traditional);seafood,American
Crazy Chicken & Crab,1825 W Chandler Blvd,Chandler,AZ,85224,33.304492,-111.873637,3.5,54,chicken wings;american (new);korean;restaurants;chicken shop,American
Local Jonny's,6033 E Cave Creek Rd,Cave Creek,AZ,85331,33.83298179,-111.9504881,4.5,165,american (new);nightlife;food;cafes;breakfast & brunch;restaurants;vegetarian;coffee & tea;beer bar;bars;pubs,American
Panda Express,"7000 16th St, Ste 100",Phoenix,AZ,85020,33.5386355,-112.0483822,2.5,26,fast food;restaurants;chinese,Chinese
Los Taquitos,7000 N 16th St,Phoenix,AZ,85020,33.5395733,-112.048346,4.0,334,mexican;restaurants,Mexican
Sonic Drive-In,4740 Baseline Rd,Phoenix,AZ,85040,33.3787187,-111.979667,2.0,23,fast food;restaurants;american (traditional),American
Canyon 49 Grill,5115 N 27th Ave,Phoenix,AZ,85017,33.5123661,-112.1141992,3.0,53,american (traditional);cafes;restaurants;breakfast & brunch,American
Cibo E Vino,34522 N Scottsdale Rd,Scottsdale,AZ,85266,33.7988493,-111.9309829,2.5,90,restaurants;italian,Italian
Binh Duong Quan,"66 S Dobson Rd, Ste 124",Mesa,AZ,85202,33.41346268,-111.8760139,3.0,5,restaurants;vietnamese,Vietnamese
Brooklyn Cafe,8340 E McDonald Dr,Scottsdale,AZ,85250,33.52447,-111.901147,4.5,6,french;american (traditional);restaurants;american (new),American
Cafe 24/7,1077 S Kyrene Rd,Chandler,AZ,85226,33.2891124,-111.9427994,4.0,4,restaurants;breakfast & brunch;arts & entertainment;casinos;american (traditional),American
Seoul Garden,1324 S Rural Rd,Tempe,AZ,85281,33.4130961,-111.9262735,2.5,8,restaurants;korean,Korean
Wildflower Bread Company,"6428 S Mcclintock Rd, Ste 104",Tempe,AZ,85283,33.3624661,-111.9126201,4.0,234,food;sandwiches;breakfast & brunch;restaurants;bakeries,American
Lao Thai,2200 N Scottsdale Rd,Scottsdale,AZ,85257,33.471801,-111.927464,4.0,66,restaurants;thai,Thai
CASA SunbÃ¡,15 E 6th St,Tempe,AZ,85281,33.4243368,-111.9394223,3.0,220,restaurants;bars;cocktail bars;american (traditional);lounges;mexican;sports bars;nightlife;american (new);vegan;tapas bars,American
Papa John's Pizza,5602 S Central Ave,Phoenix,AZ,85040,33.39564992,-112.07374,3.5,7,restaurants;pizza,Italian
Domino's Pizza,7606 W Indian School Rd,Phoenix,AZ,85033,33.4949799,-112.2234001,1.5,12,pizza;chicken wings;sandwiches;restaurants,Italian
PHX Burrito House,4140 N 7th Ave,Phoenix,AZ,85013,33.4963856,-112.0839832,4.5,460,mexican;restaurants,Mexican
Blue Wasabi Sushi and Martini Bar,"Hilton Village, 6137 N Scottsdale Rd",Scottsdale,AZ,85250,33.52681,-111.9246221,3.5,65,sushi bars;restaurants,Japanese
IHOP,3788 S Arizona Ave,Chandler,AZ,85248,33.2501113,-111.8413508,2.5,44,restaurants;american (traditional);breakfast & brunch;american (new),American
Tokyo Stop,"1335 W University Dr, Ste 6",Tempe,AZ,85281,33.4212112,-111.9601987,4.0,81,restaurants;japanese,Japanese
Port of Subs,"6620 E Mckellips Rd, Ste 101",Mesa,AZ,85215,33.453007,-111.6882393,3.5,23,salad;restaurants;breakfast & brunch;delis;sandwiches,American
